"partnerid","month","year","grossamount","discountamount","netamount","kulafees","doneeamount","causeid","causename","country","causetype"
12,10,2015,25.00,2.50,22.50,3.12,19.38,"928772","Phi Delta Theta Fraternity","US",1
12,4,2015,100.00,12.50,87.50,12.50,75.00,"439346","Catholic Relief Services, Inc.","US",1
12,1,2015,25.00,3.12,21.88,3.12,18.76,"927506","Madonna Of The Streets Inc","US",1
12,5,2015,75.00,7.50,67.50,9.38,58.12,"699047","Feeding America San Diego","US",1
12,2,2015,50.00,6.25,43.75,6.25,37.50,"438872","MAKE-A-WISH FOUNDATION OF CENTRAL NEW YORK INC                        ","US",1
12,12,2015,75.00,9.37,65.63,9.37,56.26,"439462","American Red Cross","US",1
12,4,2015,100.00,10.00,90.00,12.50,77.50,"928047","Project Night Night","US",1
12,12,2015,25.00,3.12,21.88,3.12,18.76,"928851","Project HOPE - The People-to-People Health Foundation, Inc.","US",1
12,5,2015,125.00,12.50,112.50,23.12,89.38,"67106","LANGARA COLLEGE","CA",1
12,5,2015,2075.00,259.37,1815.63,259.38,1556.25,"699052","Cool Spring Baptist Church","US",1
12,2,2015,3500.00,437.50,3062.50,437.50,2625.00,"699102","Center For Internet Security Inc","US",1
12,10,2015,30.00,3.12,26.88,3.75,23.13,"698836","Best Friends Animal Society","US",1
12,12,2015,25.00,2.50,22.50,3.12,19.38,"928887","Care for the Homeless","US",1
12,5,2015,50.00,5.00,45.00,6.24,38.76,"928545","Institute For Humane Studies","US",1
12,5,2015,25.00,2.50,22.50,3.12,19.38,"928528","World Food Program USA","US",1
12,6,2015,10.00,0.00,10.00,1.25,8.75,"698901","Heifer International","US",1
12,10,2015,100.00,12.50,87.50,12.50,75.00,"928787","American Cancer Society Inc","US",1
12,2,2015,100.00,10.00,90.00,12.50,77.50,"699111","Second Harvest Food Bank of Santa Clara and San Mateo Counties","US",1
12,8,2015,35.00,3.75,31.25,4.37,26.88,"439462","American Red Cross","US",1
12,4,2015,50.00,5.00,45.00,6.25,38.75,"699109","United States Catholic Conference","US",1
12,1,2015,25.00,2.50,22.50,3.12,19.38,"257","DOCTORS WITHOUT BORDERS USA INC","US",1
12,5,2015,25.00,2.50,22.50,3.12,19.38,"698898","Action Against Hunger USA","US",1
12,8,2015,25.00,2.50,22.50,3.12,19.38,"928621","Ohio Federation For Childrens Mental Health Inc","US",1
12,7,2015,100.00,0,100.00,12.50,87.50,"95","Grassroot Soccer","US",1
