"cause_id","amount","month","year","nonccamountearn"
"698955",30.00,6,2014,
"252",10.00,6,2014,
"98",10.00,7,2014,
"438803",10.00,7,2014,
"482410",10.00,8,2014,
"493714",10.00,9,2014,
"698899",150.00,10,2014,
"699107",39.00,11,2014,
"699109",50.00,11,2014,
"439189",200.00,12,2014,
"927957",10.00,1,2015,
"568936",7.00,8,2013,
"698366",10.00,8,2013,
"568941",50.00,9,2013,
"698367",50.00,9,2013,
"698368",10.00,10,2013,
"698424",10.00,10,2013,
"698489",10.00,11,2013,
"698424",25.00,12,2013,
"698617",1500.00,1,2014,
"927798",10.00,5,2015,
"500133",10.00,5,2015,
"928529",50.00,5,2015,
"928571",100.00,7,2015,
"95",100.00,7,2015,
"507983",10.00,8,2015,
"451752",50.00,8,2015,
"698836",30.00,10,2015,
"488167",35.00,12,2015,
"698844",300.00,12,2015,
"698844",200.00,1,2016,
